"";"X.HDLENS2014";"X.HDLENS2015";"X.HDLENS2016";"X.HDLENS2017";"X.HDLENS2018";"X.HDLENS2019";"X.HDLENS2020";"X.HDLENS2021";"X.HDLENS2022";"X.HDLENS2023";"X.HDLENS2024"
"pre";186,64;192,9;190,14;187,97;196,9;188,98;197,96;198,19;198,11;193,34;179,45
"nom";285,1;268,71;286,31;290,56;299,97;288,53;297,55;294,36;290,09;294,91;285,5
"adj";118,15;103,65;99,22;100,6;116,56;109,83;102,36;101,69;109,68;106,22;120,07
"nr";29,11;34,55;44,92;41,19;32,1;53,04;41,93;41,68;34,77;27,98;38,34
"ver";80,48;73,9;80,46;82,38;82,81;80,67;77,83;79,68;83,24;82,54;84,29
"art_def";99,32;97,89;94,85;107,09;97,63;96,77;98,29;97,59;100,38;100,45;108,47
"conj";52,65;45,11;48,84;42,69;49,23;46,15;43,96;42,18;44,86;48,03;45,9
"pro_rel";17,98;17,27;19,84;17,22;20,41;19,05;16,29;18,66;17,42;19,82;15,73
"pro_ind";11,13;8,64;11,34;10,23;8,4;8,68;8,7;9,29;9,86;9,48;7,86
"nom_sup";11,56;17,27;9,38;7,74;6,42;7,69;7,59;9,04;10,26;7,3;7,23
"ver_sup";24,4;33,59;30,96;28,46;23,05;23,79;21,66;31,13;29,19;32,01;28,44
"num";8,56;21,11;8,72;5,49;4,61;9,93;15,09;14,4;8,85;8,71;10,46
"pro_per";8,99;13,44;11,56;10,73;10,04;10,91;8,7;9,63;9,98;11,36;9,48
"adv_sup";18,41;24,95;16,14;24,96;18,77;19,94;21,47;18,41;16,18;20,47;19,93
"adv";24,4;26,87;24,2;23,22;17,95;18,6;22,21;17,83;20,18;21,27;22,02
"pro_dem";7,71;5,76;6,98;7,74;4,45;5,9;6,02;5,94;6,48;6,82;6,59
"adj_num";7,28;2,88;6,32;4,74;3,79;2,5;3,89;3,1;2,99;2,22;1,7
"pro_pos";7,28;8,64;8,07;6,74;5,93;7,96;7,13;6,44;6,65;5,94;6,5
"ono";0,43;0;0,22;0;0,33;0,27;0,65;0,25;0,11;0,29;0,64
"pro_int";0,43;0,96;0,22;0;0,49;0,36;0,09;0,33;0,39;0,4;0,6
"adj_sup";0;1,92;0,65;0,25;0;0,18;0,65;0,17;0,28;0,32;0,55
"sw";0;0;0,65;0;0,16;0,09;0;0;0,06;0,11;0,21
"adj ";0;0;0;0;0;0,18;0;0;0;0,02;0,04
