"";"*HDLENS2014";"*HDLENS2015";"*HDLENS2016";"*HDLENS2017";"*HDLENS2018";"*HDLENS2019";"*HDLENS2020";"*HDLENS2021";"*HDLENS2022";"*HDLENS2023";"*HDLENS2024"
"pre";436;201;872;753;1196;2113;2139;2368;3515;12079;4222
"nom";666;280;1313;1164;1822;3226;3215;3517;5147;18425;6717
"adj";276;108;455;403;708;1228;1106;1215;1946;6636;2825
"nr";68;36;206;165;195;593;453;498;617;1748;902
"ver";188;77;369;330;503;902;841;952;1477;5157;1983
"art_def";232;102;435;429;593;1082;1062;1166;1781;6276;2552
"conj";123;47;224;171;299;516;475;504;796;3001;1080
"pro_rel";42;18;91;69;124;213;176;223;309;1238;370
"pro_ind";26;9;52;41;51;97;94;111;175;592;185
"nom_sup";27;18;43;31;39;86;82;108;182;456;170
"ver_sup";57;35;142;114;140;266;234;372;518;2000;669
"num";20;22;40;22;28;111;163;172;157;544;246
"pro_per";21;14;53;43;61;122;94;115;177;710;223
"adv_sup";43;26;74;100;114;223;232;220;287;1279;469
"adv";57;28;111;93;109;208;240;213;358;1329;518
"pro_dem";18;6;32;31;27;66;65;71;115;426;155
"adj_num";17;3;29;19;23;28;42;37;53;139;40
"pro_pos";17;9;37;27;36;89;77;77;118;371;153
"ono";1;0;1;0;2;3;7;3;2;18;15
"pro_int";1;1;1;0;3;4;1;4;7;25;14
"adj_sup";0;2;3;1;0;2;7;2;5;20;13
"sw";0;0;3;0;1;1;0;0;1;7;5
"adj ";0;0;0;0;0;2;0;0;0;1;1
